name,code,type,date,url
常驻标准寻访1,1,regularPool,2019/04/30 ~ 2019/05/16,/regularPool/1
常驻标准寻访2,2,regularPool,2019/05/16 ~ 2019/05/30,/regularPool/2
常驻标准寻访3,3,regularPool,2019/05/30 ~ 2019/06/13,/regularPool/3
常驻标准寻访4,4,regularPool,2019/06/13 ~ 2019/06/27,/regularPool/4
常驻标准寻访5,5,regularPool,2019/06/27 ~ 2019/07/11,/regularPool/5
常驻标准寻访6,6,regularPool,2019/07/11 ~ 2019/07/25,/regularPool/6
常驻标准寻访7,7,regularPool,2019/07/25 ~ 2019/08/08,/regularPool/7
常驻标准寻访8,8,regularPool,2019/08/08 ~ 2019/08/22,/regularPool/8
常驻标准寻访9,9,regularPool,2019/08/22 ~ 2019/09/05,/regularPool/9
常驻标准寻访10,10,regularPool,2019/09/05 ~ 2019/09/19,/regularPool/10
常驻标准寻访11,11,regularPool,2019/09/19 ~ 2019/10/03,/regularPool/11
常驻标准寻访12,12,regularPool,2019/10/03 ~ 2019/10/17,/regularPool/12
常驻标准寻访13,13,regularPool,2019/10/17 ~ 2019/10/31,/regularPool/13
常驻标准寻访14,14,regularPool,2019/10/31 ~ 2019/11/14,/regularPool/14
常驻标准寻访15,15,regularPool,2019/11/14 ~ 2019/11/28,/regularPool/15
常驻标准寻访16,16,regularPool,2019/11/28 ~ 2019/12/12,/regularPool/16
常驻标准寻访17,17,regularPool,2019/12/12 ~ 2020/12/26,/regularPool/17
常驻标准寻访18,18,regularPool,2019/12/26 ~ 2020/01/09,/regularPool/18
常驻标准寻访19,19,regularPool,2020/01/09 ~ 2020/01/23,/regularPool/19
常驻标准寻访20,20,regularPool,2020/01/23 ~ 2020/02/06,/regularPool/20
常驻标准寻访21,21,regularPool,2020/02/06 ~ 2020/02/20,/regularPool/21
常驻标准寻访22,22,regularPool,2020/02/20 ~ 2020/03/05,/regularPool/22
常驻标准寻访23,23,regularPool,2020/03/05 ~ 2020/03/19,/regularPool/23
常驻标准寻访24,24,regularPool,2020/03/19 ~ 2020/04/02,/regularPool/24
常驻标准寻访25,25,regularPool,2020/04/02 ~ 2020/04/16,/regularPool/25
常驻标准寻访26,26,regularPool,2020/04/16 ~ 2020/04/30,/regularPool/26
常驻标准寻访27,27,regularPool,2020/04/30 ~ 2020/05/14,/regularPool/27
常驻标准寻访28,28,regularPool,2020/05/14 ~ 2020/05/28,/regularPool/28
常驻标准寻访29,29,regularPool,2020/05/28 ~ 2020/06/11,/regularPool/29
常驻标准寻访30,30,regularPool,2020/06/11 ~ 2020/06/25,/regularPool/30
常驻标准寻访31,31,regularPool,2020/06/25 ~ 2020/07/09,/regularPool/31
常驻标准寻访32,32,regularPool,2020/07/09 ~ 2020/07/23,/regularPool/32
常驻标准寻访33,33,regularPool,2020/07/23 ~ 2020/08/06,/regularPool/33
常驻标准寻访34,34,regularPool,2020/08/06 ~ 2020/08/20,/regularPool/34
常驻标准寻访35,35,regularPool,2020/08/20 ~ 2020/09/03,/regularPool/35
常驻标准寻访36,36,regularPool,2020/09/03 ~ 2020/09/17,/regularPool/36
地生五金,1,limitPool,"2020/01/16 ~ 2020/01/30
",/limitPool/earthborn_metals
遗愿焰火,2,limitPool,2020/05/01 ~ 2020/05/15,/limitPool/lashwish_cremation
银灰色的荣耀,1,eventPool,2019/05/23 ~ 2019/05/30,"/eventPool/the_glory_of_sliverash
"
搅动潮汐之剑,2,eventPool,2019/05/30 ~ 2019/06/13,/eventPool/treasure_knights
鞘中赤红,3,eventPool,2019/07/29 ~ 2019/07/22,/eventPool/the_crimson_hidden_dragon
龙门特别行动专员寻访,4,eventPool,2019/07/22 ~ 2019/08/05,/eventPool/lungmen_specoperators
深夏的守夜人,5,eventPool,2019/08/27 ~ 2019/09/10,/eventPool/summer_guardians
久铸尘铁,6,eventPool,2019/09/10 ~ 2019/09/24,/eventPool/forging_steel
火舞之人,7,eventPool,2019/10/01 ~ 2019/10/11,/eventPool/dancing_lava
冰封原野,8,eventPool,2019/10/15 ~ 2019/10/29,/eventPool/frozen_land
联合行动1,9,eventPool,2019/11/01 ~ 2019/11/15,/eventPool/united_operation_1
锁与匙的守卫者,10,eventPool,2019/11/19 ~ 2019/12/03,/eventPool/keeper_of_the_lock&keys
凝电之钻,11,eventPool,2019/12/10 ~ 2019/12/24,/eventPool/drill_electric
热情，膨胀，爆发！,12,eventPool,2019/12/24 ~ 2020/01/07,/eventPool/enthusiasm_expansion_explosion
百种兵器,13,eventPool,2020/02/25 ~ 2020/03/10,/eventPool/thousands_heads
草垛上的风笛声,14,eventPool,2020/03/17 ~ 2020/03/31,/eventPool/grassy_bagpipe
往日幻象,15,eventPool,2020/04/21 ~ 2020/05/05,/eventPool/past_illusion
联合行动2,16,eventPool,2020/05/15 ~ 2020/05/29,/eventPool/united_operation_2
雾漫荒林,17,eventPool,2020/06/02 ~ 2020/06/16,/eventPool/misty_wild
雪落晨心,18,eventPool,2020/06/18 ~ 2020/07/02,/eventPool/snowfall_утро
君影轻灵,19,eventPool,2020/07/09 ~ 2020/07/23,/eventPool/lisa_of_the_valley
流沙涡旋,20,eventPool,2020/07/28 ~ 2020/08/11,/eventPool/spiral_sinking
不羁逆流,21,eventPool,2020/08/11 ~ 2020/08/25,/eventPool/unbound_reflux
燃钢之心 暴躁铁皮,22,eventPool,2020/08/25 ~ 2020/09/08,/eventPool/heart_of_steel_the_rage_ironhide